ID,Difficulty,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation,Status
621ab02c-7dd5-47c5-b2f5-50e4adef1cd2,Medium,"What is the appropriate dose adjustment for levothyroxine for a 70 kg adult diagnosed with primary hypothyroidism and a TSH level of 10 mIU/L, previously taking 100 mcg/day?",Increase to 125 mcg/day,Increase to 112 mcg/day,Maintain current dose,Reduce to 75 mcg/day,Increase to 150 mcg/day,A,"For a patient with primary hypothyroidism and elevated TSH levels, the goal is to normalize TSH. A TSH of 10 mIU/L indicates under-treatment. Adjusting levothyroxine dose by 12.5-25 mcg increments is typical; hence, increasing the dose to 125 mcg/day is appropriate based on the patient's elevated TSH.",approved
c5e3b0ce-aa71-4199-9cdf-089cad1da014,Easy,"An adult patient undergoing treatment for pulmonary TB weighs 60 kg at treatment initiation. After 2 months, the patient's weight increases to 65 kg. If the initial dose of rifampicin was 600 mg daily, how should the dose be adjusted based on the weight gain?",Increase to 650 mg daily,Maintain the dose at 600 mg daily,Increase to 675 mg daily,Increase to 700 mg daily,Reduce to 550 mg daily,B,"Rifampicin dosing for TB treatment in adults does not typically require adjustment for minor weight changes within the normal treatment range. The usual dose is 600 mg irrespective of weight up to a certain limit (usually up to 70 kg), thus maintaining the dose at 600 mg daily is appropriate.",approved
290fc6f3-00cc-45c4-be47-2c19d62df571,Hard,"Calculate the infusion rate in mL/hour for a dopamine infusion for a child weighing 25 kg, prescribed at 5 mcg/kg/min, given the infusion concentration is 400 mg in 250 mL.",7.5 mL/hour,15 mL/hour,3.75 mL/hour,10 mL/hour,5 mL/hour,E,"First, calculate the dose in mcg/min: 5 mcg/kg/min * 25 kg = 125 mcg/min. Convert this to mg/hour: (125 mcg/min * 60 minutes) / 1000 = 7.5 mg/hour. Then, calculate the volume: (7.5 mg/hour) / (400 mg/250 mL) = 4.6875 mL/hour, which is practically rounded to 5 mL/hour. However, the correct calculation should consider the concentration properly leading to 10 mL/hour as the closest option based on the conversion error presented.",approved
90e4fae2-0fa4-4b7a-9283-8b893633e5cd,Medium,A child weighing 25 kg is prescribed azithromycin for a bacterial infection. The pediatric dosage is 10 mg/kg on the first day followed by 5 mg/kg once daily for 4 days. What is the total dose (in mg) required for the full 5-day course?,250 mg,500 mg,750 mg,200 mg,1250 mg,C,"Day 1: 25 kg × 10 mg/kg = 250 mg. Days 2–5: 25 kg × 5 mg/kg = 125 mg/day × 4 days = 500 mg. Total dose = 250 mg (day 1) + 500 mg (days 2–5) = 750 mg. Options A, B, C, and D do not correctly calculate the total dose over the 5-day course.",approved
52ef1fc0-f6b4-43d4-b71b-034ca7d31618,Hard,"A patient (weight 95 kg, height 158 cm, BSA 1.92 m²) is prescribed methotrexate (high-dose) at 3000 mg/m² as part of a chemotherapy regimen. The BNF maximum single dose is 8000 mg. The calculated dose is to be diluted in 500 mL of appropriate diluent and infused over 24 hour(s). Calculate the infusion rate in mL/hour.",18.72 mL/hour,62.4 mL/hour,20.8 mL/hour,2.08 mL/hour,83.2 mL/hour,C,"Step 1: Calculate the dose using BSA
• Dose = Dose per m² × BSA
• Dose = 3000 mg/m² × 1.92 m² = 5760 mg

Step 2: Check against the maximum single dose
• 5760 mg is below the BNF maximum of 8000 mg, so no cap is needed

Step 3: Calculate the infusion rate
• The dose is diluted to 500 mL and infused over 24 hours
• Infusion rate = Volume ÷ Time = 500 mL ÷ 24 hours = 20.83 mL/hour ≈ 20.8 mL/hour

Answer: 20.8 mL/hour

Why other answers are wrong:
• 18.72 mL/hour — Calculation error (may have used a different BSA)
• 62.4 mL/hour — May have divided by 8 hours instead of 24
• 2.08 mL/hour — Decimal error (÷ 10)
• 83.2 mL/hour — May have divided by 6 hours instead of 24

Key concept: For BSA-based dosing, the infusion rate depends on the dilution volume and infusion time, not on the drug dose directly.",approved
168ed540-4e55-42d7-bcb0-f4df35fb11cd,Hard,A 10-year-old child weighing 8 kg is prescribed amoxicillin at 50 mg/kg/day in 3 divided doses (TDS) for 10 days. The BNF recommends a maximum single dose of N/A mg and maximum daily dose of 3000 mg for children. Amoxicillin is available as 125 mg/5 mL suspension. What is the correct single dose in mg for this child?,120.0 mg,133.3 mg,66.65 mg,533.2 mg,146.6 mg,B,"Step 1: Calculate the total daily dose
• Total daily dose = Weight × Dose per kg/day
• 8 kg × 50 mg/kg/day = 400 mg/day

Step 2: Divide into the number of doses
• Given TDS (three times daily)
• Dose per administration = 400 mg ÷ 3 = 133.3 mg per dose

Answer: 133.3 mg per dose

Why other answers are wrong:
• 120.0 mg — Would be 30 mg/kg/day divided by 3
• 66.65 mg — Half the correct answer
• 533.2 mg — Total daily dose multiplied incorrectly
• 146.6 mg — Calculation error",approved
fcff14c2-bfb0-4e49-8041-97afeed5672b,Hard,A 65 kg patient with an eGFR of 42 mL/min/1.73m² is prescribed gentamicin at 5 mg/kg once daily. The BNF recommends a maximum single dose of 500 mg and the following renal dose adjustments: eGFR 30-60 mL/min/1.73m²: reduce to 60% of normal dose. Gentamicin injection is available as 40 mg/mL in 2 mL vials. What is the correct gentamicin dose for this patient?,585 mg,214.5 mg,130.1 mg,195 mg,780 mg,D,"Step 1: Calculate the normal dose
• Normal dose = Weight × Dose per kg
• 65 kg × 5 mg/kg = 325 mg

Step 2: Check against the maximum single dose
• 325 mg is below the maximum of 500 mg, so no cap is needed

Step 3: Apply renal dose adjustment
• eGFR is 42 mL/min/1.73m², which falls in the 30–60 range
• Adjustment: reduce to 60% of normal dose
• Adjusted dose = 325 mg × 0.60 = 195 mg

Answer: 195 mg

Why other answers are wrong:
• 585 mg — No renal adjustment applied and wrong dose per kg (would be 9 mg/kg)
• 214.5 mg — May have applied a 66% adjustment
• 130.1 mg — May have applied a 40% adjustment
• 780 mg — Grossly excessive (no adjustment, wrong dose)",approved
bf51dc6e-b1fd-46d7-bbcf-e425a4dff7b0,Medium,A 50 kg patient requires digoxin for heart failure. The loading dose is given as 10 micrograms/kg. The available digoxin injection is 0.25 mg/mL. How many mL should be administered for the loading dose?,0.5 mL,2 mL,1 mL,0.2 mL,4 mL,B,"First, convert the dose to mg (10 micrograms/kg × 50 kg = 500 micrograms = 0.5 mg). Then, calculate the volume required (0.5 mg ÷ 0.25 mg/mL = 2 mL). Options A, C, D, and E do not correctly convert micrograms to milligrams or miscalculate the volume.",approved
94f6f532-f5a3-494a-ad77-3fa4fdbaa386,Hard,A 100 kg patient requires noradrenaline at 2 micrograms/minute. The infusion is prepared as 4 mg in 50 mL of sodium chloride 0.9% (concentration: 0.04 mg/mL). The maximum infusion rate is 60 mL/hour. Calculate the required infusion rate in mL/hour and confirm it is within the maximum.,6 mL/hour,9 mL/hour,3 mL/hour,3.3 mL/hour,0.75 mL/hour,C,"Step 1: Calculate the dose per hour
• Dose rate = 2 micrograms/minute
• Per hour: 2 mcg/min × 60 min = 120 mcg/hour = 0.12 mg/hour

Step 2: Calculate the infusion rate
• Stated concentration: 0.04 mg/mL
• Infusion rate = Dose per hour ÷ Concentration
• Rate = 0.12 mg/hour ÷ 0.04 mg/mL = 3 mL/hour

Step 3: Confirm within maximum
• Maximum infusion rate is 60 mL/hour
• 3 mL/hour is well within the maximum

Answer: 3 mL/hour (within the maximum of 60 mL/hour)

Why other answers are wrong:
• 6 mL/hour — May have used 4 mcg/min instead of 2 mcg/min
• 9 mL/hour — Calculation error
• 3.3 mL/hour — Rounding error
• 0.75 mL/hour — May have divided by concentration in mg/mL incorrectly

Key concept: Convert mcg/min to mg/hour (× 60 ÷ 1000), then divide by the concentration in mg/mL to get mL/hour.",approved
608bd41f-1faf-42c7-8837-0419a9cf7477,Hard,A patient is started on pregabalin for generalised anxiety disorder using the following titration schedule: 75 mg twice daily for 7 days; 150 mg twice daily for 7 days; 300 mg twice daily for 14 days. Pregabalin is available as 75 mg tablets. Tablets come in packs of 56. How many packs should be dispensed for the primary drug?,0.3 pack(s) of 56,3.3 pack(s) of 56,30 pack(s) of 56,4.5 pack(s) of 56,3 pack(s) of 56,E,"Step 1: Calculate the total number of 75 mg tablets for each phase
• Phase 1: 75 mg twice daily for 7 days → 2 tablets/day × 7 = 14 tablets
• Phase 2: 150 mg twice daily for 7 days → 4 tablets/day × 7 = 28 tablets (150 mg = 2 × 75 mg)
• Phase 3: 300 mg twice daily for 14 days → 8 tablets/day × 14 = 112 tablets (300 mg = 4 × 75 mg)

Step 2: Calculate the total tablets
• Total = 14 + 28 + 112 = 154 tablets

Step 3: Calculate packs needed
• Packs of 56: 154 ÷ 56 = 2.75 → round up to 3 packs

Answer: 3 packs of 56

Why other answers are wrong:
• 0.3 pack(s) — Grossly insufficient
• 3.3 pack(s) — Calculation error
• 30 pack(s) — Decimal error (× 10)
• 4.5 pack(s) — Overestimate

Key concept: Convert each dose to the number of tablets using the available strength, calculate tablets per phase, sum, then round UP to whole packs.",approved
df3e65ec-a952-430b-b93b-d03cb135f4ab,Hard,A 65 kg patient with an eGFR of 30 mL/min/1.73m² is prescribed amikacin at 15 mg/kg once daily. The BNF recommends a maximum single dose of 1500 mg and the following renal dose adjustments: eGFR 30-60 mL/min/1.73m²: reduce to 60% of normal dose. Amikacin injection is available as 50 mg/mL in 2 mL vials. What volume of amikacin injection (50 mg/mL) should be drawn up?,35.1 mL,5.85 mL,11.7 mL,46.8 mL,23.4 mL,C,"Step 1: Calculate the normal dose
• Normal dose = Weight × Dose per kg
• 65 kg × 15 mg/kg = 975 mg

Step 2: Check against the maximum single dose
• 975 mg is below the maximum of 1500 mg, so no cap is needed

Step 3: Apply renal dose adjustment
• eGFR is 30 mL/min/1.73m², which falls in the 30–60 range
• Adjustment: reduce to 60% of normal dose
• Adjusted dose = 975 mg × 0.60 = 585 mg

Step 4: Calculate the volume to draw up
• Stock concentration: 50 mg/mL
• Volume = Dose ÷ Concentration = 585 mg ÷ 50 mg/mL = 11.7 mL

Answer: 11.7 mL

Why other answers are wrong:
• 35.1 mL — Calculation error (possibly tripled)
• 5.85 mL — Half the correct answer (may have used 30% instead of 60%)
• 46.8 mL — No renal adjustment applied and incorrect calculation
• 23.4 mL — No renal adjustment applied (975 ÷ 50 = 19.5, not this)",approved
d275a91e-a9e2-47a1-b5ec-382e31ba3bb3,Easy,"A patient with renal impairment has a gentamicin trough level that suggests toxicity. The initial dose was 5 mg/kg/day. According to guidelines, the dose should be reduced by 25%. The patient weighs 70 kg. What is the new daily dose?",262.5 mg,350 mg,175 mg,525 mg,437.5 mg,A,"The original dose is 70 kg × 5 mg/kg = 350 mg. A 25% reduction is 350 mg × 0.75 = 262.5 mg. Options B, C, D, and E do not correctly apply the 25% reduction.",approved
ec672c94-aa9c-41b2-bdf6-815f3aa58bc4,Easy,"A neonate requires an IV infusion of ampicillin, dosed at 50 mg/kg every 8 hours. The neonate's weight is 2.5 kg. The available ampicillin solution is 100 mg/mL. How many mL should be administered every 8 hours?",1.25 mL,0.625 mL,2.5 mL,0.25 mL,5 mL,A,"The dose required per administration is 2.5 kg × 50 mg/kg = 125 mg. To find the volume required using the solution concentration, 125 mg ÷ 100 mg/mL = 1.25 mL. Options B, C, D, and E do not correctly calculate the volume based on the dose required and the concentration of the solution.",approved
b4884c89-6859-4fc9-8715-f83f82a171a4,Hard,"A patient (weight 75 kg, height 162 cm, BSA 1.72 m²) is prescribed etoposide at 100 mg/m² as part of a chemotherapy regimen. The BNF maximum single dose is 250 mg. The calculated dose is to be diluted in 250 mL of appropriate diluent and infused over 1 hour(s). Etoposide is available as 50 mg vials. How many 50 mg vials are needed?",1.33 vial(s),4 vial(s),1 vial(s),2.67 vial(s),6 vial(s),B,"Step 1: Calculate the dose using BSA
• Dose = Dose per m² × BSA
• Dose = 100 mg/m² × 1.72 m² = 172 mg

Step 2: Check against the maximum single dose
• 172 mg is below the BNF maximum of 250 mg, so no cap is needed

Step 3: Calculate the number of vials
• Each vial contains 50 mg
• Vials = Dose ÷ Vial strength = 172 mg ÷ 50 mg = 3.44
• Since you cannot use a fraction of a vial, round up to 4 vials

Answer: 4 vials

Why other answers are wrong:
• 1.33 vial(s) — Calculation error
• 1 vial — Would only provide 50 mg (underdose)
• 2.67 vial(s) — Calculation error
• 6 vial(s) — Excessive (300 mg, exceeds cap)",approved
a5ac806a-89d9-4291-9d71-3a2f449e1c32,Hard,A 78 kg patient with an eGFR of 20 mL/min/1.73m² is prescribed amikacin at 15 mg/kg once daily. The BNF recommends a maximum single dose of 1500 mg and the following renal dose adjustments: eGFR 15-29 mL/min/1.73m²: reduce to 40% of normal dose. Amikacin injection is available as 50 mg/mL in 2 mL vials. What volume of amikacin injection (50 mg/mL) should be drawn up?,4.68 mL,9.36 mL,14.04 mL,0.94 mL,28.08 mL,B,"Step 1: Calculate the normal dose
• Normal dose = Weight × Dose per kg
• 78 kg × 15 mg/kg = 1170 mg

Step 2: Check against the maximum single dose
• 1170 mg is below the maximum of 1500 mg, so no cap is needed

Step 3: Apply renal dose adjustment
• eGFR is 20 mL/min/1.73m², which falls in the 15–29 range
• Adjustment: reduce to 40% of normal dose
• Adjusted dose = 1170 mg × 0.40 = 468 mg

Step 4: Calculate the volume to draw up
• Stock concentration: 50 mg/mL
• Volume = Dose ÷ Concentration = 468 mg ÷ 50 mg/mL = 9.36 mL

Answer: 9.36 mL

Why other answers are wrong:
• 4.68 mL — Half the correct answer (may have used 20% instead of 40%)
• 14.04 mL — May have applied 60% adjustment instead of 40%
• 0.94 mL — Decimal error
• 28.08 mL — May have tripled the correct answer",approved
67138981-3573-4ff8-87c6-de41f4256f47,Easy,A 38 kg patient requires IV antibiotics dosed at 500 mg/m². The patient's BSA is calculated to be 1.2 m². How much antibiotic is required per dose?,400 mg,500 mg,600 mg,700 mg,800 mg,C,"The antibiotic dose is determined by multiplying the patient's BSA by the dose per m²: 1.2 m² × 500 mg/m² = 600 mg. Therefore, the patient requires 600 mg per dose.",approved
d8764163-b6c7-4c87-8d5e-08af49d14976,Easy,"A patient is prescribed a medication with a half-life of 8 hours. If the initial dose is 200 mg, how much of the drug remains in the body after 24 hours, assuming no further doses are taken?",25 mg,50 mg,75 mg,100 mg,125 mg,A,"The drug's concentration will halve every 8 hours. After 8 hours: 100 mg, after 16 hours: 50 mg, and after 24 hours: 25 mg remains in the body.",approved
638c6ade-02a0-4a9c-913f-843c97dc7deb,Medium,"A pediatric patient requires amoxicillin for an infection. If the recommended dose is 90 mg/kg/day divided into two doses and the child weighs 15 kg, what is the correct dose per administration?",675 mg,750 mg,825 mg,900 mg,1000 mg,A,"Calculate the total daily dose: 15 kg × 90 mg/kg = 1350 mg/day. Divided into two doses, each dose should be 675 mg.",approved
226bf4cb-fa26-486d-8b10-08a3b92e8bde,Medium,A 6-month-old infant weighing 7 kg is prescribed vancomycin for a severe infection. The dosing guideline is 15 mg/kg/dose every 6 hours. The available concentration is 500 mg/5 mL. How many mL should be administered per dose?,2.1 mL,4.2 mL,3.5 mL,1.4 mL,2.8 mL,D,"Step 1: Calculate the dose required
• Dose = Weight × Dose per kg
• 7 kg × 15 mg/kg = 105 mg per dose

Step 2: Determine the concentration
• Stock: 500 mg per 5 mL = 100 mg/mL

Step 3: Calculate the volume
• Volume = Dose ÷ Concentration = 105 mg ÷ 100 mg/mL = 1.05 mL

Note: The calculated volume is 1.05 mL. The stated answer of 1.4 mL would correspond to a concentration of 75 mg/mL. This question may require review of the stated concentration or answer options.

Why other answers are wrong:
• 2.1 mL — Would deliver 210 mg (double the required dose)
• 4.2 mL — Would deliver 420 mg (quadruple the required dose)
• 3.5 mL — Would deliver 350 mg
• 2.8 mL — Would deliver 280 mg",review
47af5fe8-7d4a-41f2-a31e-7b749e560b7e,Hard,A 90 kg patient requires 50 mL of 0.5% lidocaine (without adrenaline) for local anaesthesia. The stock solution is lidocaine 1% (10 mg/mL). The BNF maximum dose of lidocaine without adrenaline is 3 mg/kg. What is the maximum safe dose for this patient in mg?,810 mg,270 mg,2700 mg,297 mg,243 mg,B,"Step 1: Calculate the maximum safe dose
• Maximum dose = Weight × Maximum dose per kg
• 90 kg × 3 mg/kg = 270 mg

Step 2: For reference, check the dose in the prepared solution
• 0.5% lidocaine = 5 mg/mL
• Dose in 50 mL of 0.5% = 50 mL × 5 mg/mL = 250 mg
• 250 mg is within the maximum of 270 mg, so this is safe

Answer: The maximum safe dose is 270 mg

Why other answers are wrong:
• 810 mg — May have used 9 mg/kg instead of 3 mg/kg
• 2700 mg — Decimal error (× 10)
• 297 mg — May have used 3.3 mg/kg
• 243 mg — May have used 2.7 mg/kg",approved
a37227bc-00cf-4337-9d5b-e0c9be5b32ae,Hard,A 65 kg patient with an eGFR of 40 mL/min/1.73m² is prescribed gentamicin at 5 mg/kg once daily. The BNF recommends a maximum single dose of 500 mg and the following renal dose adjustments: eGFR 30-60 mL/min/1.73m²: reduce to 60% of normal dose. Gentamicin injection is available as 40 mg/mL in 2 mL vials. What volume of gentamicin injection (40 mg/mL) should be drawn up?,14.64 mL,4.88 mL,19.52 mL,1.22 mL,4.39 mL,B,"Step 1: Calculate the normal dose
• Normal dose = Weight × Dose per kg
• 65 kg × 5 mg/kg = 325 mg

Step 2: Check against the maximum single dose
• 325 mg is below the maximum of 500 mg, so no cap is needed

Step 3: Apply renal dose adjustment
• eGFR is 40 mL/min/1.73m², which falls in the 30–60 range
• Adjustment: reduce to 60% of normal dose
• Adjusted dose = 325 mg × 0.60 = 195 mg

Step 4: Calculate the volume to draw up
• Stock concentration: 40 mg/mL
• Volume = Dose ÷ Concentration = 195 mg ÷ 40 mg/mL = 4.875 mL ≈ 4.88 mL

Answer: 4.88 mL

Why other answers are wrong:
• 14.64 mL — Calculation error (possibly tripled)
• 19.52 mL — No renal adjustment applied and calculation error
• 1.22 mL — Decimal error
• 4.39 mL — May have applied a different adjustment factor",approved
cec4c4fb-d4a4-4471-aaf1-108c940edeeb,Hard,"A 68 kg patient with an eGFR of 35 mL/min/1.73m² is prescribed fluconazole at 6 mg/kg once daily. The BNF recommends a maximum single dose of 400 mg and the following renal dose adjustments: eGFR 30-50 mL/min/1.73m²: reduce to 50% of normal dose. Fluconazole injection is available as 2 mg/mL in 100 mL vials. The dose is diluted to 500 mL and infused over 30 minutes. If the adjusted dose is diluted to 500 mL and infused over 30 minutes, what is the infusion rate in mL/hour?",100 mL/hour,3000 mL/hour,1000 mL/hour,1500 mL/hour,4000 mL/hour,C,"Step 1: Calculate the normal dose
• Normal dose = Weight × Dose per kg
• 68 kg × 6 mg/kg = 408 mg

Step 2: Check against the maximum single dose
• 408 mg exceeds the maximum of 400 mg
• Capped dose = 400 mg

Step 3: Apply renal dose adjustment
• eGFR is 35 mL/min/1.73m², which falls in the 30–50 range
• Adjustment: reduce to 50% of normal dose
• Adjusted dose = 400 mg × 0.50 = 200 mg

Step 4: Calculate the infusion rate
• The adjusted dose is diluted to 500 mL and infused over 30 minutes
• Convert time: 30 minutes = 0.5 hours
• Infusion rate = Volume ÷ Time = 500 mL ÷ 0.5 hours = 1000 mL/hour

Answer: 1000 mL/hour

Why other answers are wrong:
• 100 mL/hour — Would imply a 5-hour infusion
• 3000 mL/hour — Calculation error
• 1500 mL/hour — Would imply a 20-minute infusion
• 4000 mL/hour — Calculation error",approved
6f0121e6-36e0-4743-9b9f-d52f7932272e,Hard,"A 78 kg patient with an eGFR of 30 mL/min/1.73m² is prescribed aciclovir at 10 mg/kg every 8 hours. The BNF recommends a maximum single dose of 800 mg and the following renal dose adjustments: eGFR 25-50 mL/min/1.73m²: reduce to 50% of normal dose. Aciclovir injection is available as 25 mg/mL in 20 mL vials. The dose is diluted to 250 mL and infused over 90 minutes. If the adjusted dose is diluted to 250 mL and infused over 90 minutes, what is the infusion rate in mL/hour?",166.7 mL/hour,183.4 mL/hour,1667 mL/hour,83.35 mL/hour,333.4 mL/hour,A,"Step 1: Calculate the normal dose
• Normal dose = Weight × Dose per kg
• 78 kg × 10 mg/kg = 780 mg

Step 2: Check against the maximum single dose
• 780 mg is below the maximum of 800 mg, so no cap is needed

Step 3: Apply renal dose adjustment
• eGFR is 30 mL/min/1.73m², which falls in the 25–50 range
• Adjustment: reduce to 50% of normal dose
• Adjusted dose = 780 mg × 0.50 = 390 mg

Step 4: Calculate the infusion rate
• The adjusted dose is diluted to 250 mL and infused over 90 minutes
• Convert time: 90 minutes = 1.5 hours
• Infusion rate = Volume ÷ Time = 250 mL ÷ 1.5 hours = 166.7 mL/hour

Answer: 166.7 mL/hour

Why other answers are wrong:
• 183.4 mL/hour — Calculation error
• 1667 mL/hour — Decimal error (× 10)
• 83.35 mL/hour — Would imply a 3-hour infusion
• 333.4 mL/hour — Would imply a 45-minute infusion",approved
2c78e513-9401-4b02-bb81-b4e0110223f8,Hard,A 90 kg patient with an eGFR of 55 mL/min/1.73m² is prescribed fluconazole at 6 mg/kg once daily. The BNF recommends a maximum single dose of 400 mg and the following renal dose adjustments: . Fluconazole injection is available as 2 mg/mL in 100 mL vials. What volume of fluconazole injection (2 mg/mL) should be drawn up?,200 mL,180 mL,800 mL,133.4 mL,400 mL,A,"Step 1: Calculate the normal dose
• Normal dose = Weight × Dose per kg
• 90 kg × 6 mg/kg = 540 mg

Step 2: Check against the maximum single dose
• 540 mg exceeds the maximum of 400 mg
• Capped dose = 400 mg

Step 3: Check for renal dose adjustment
• eGFR is 55 mL/min/1.73m²
• No renal dose adjustment is specified for this eGFR range
• Dose remains at 400 mg

Step 4: Calculate the volume to draw up
• Stock concentration: 2 mg/mL
• Volume = Dose ÷ Concentration = 400 mg ÷ 2 mg/mL = 200 mL

Answer: 200 mL

Why other answers are wrong:
• 180 mL — Calculation error
• 800 mL — May have used the uncapped dose doubled
• 133.4 mL — May have applied an incorrect 33% adjustment
• 400 mL — Would imply no cap was applied (540 ÷ 2 = 270, not this either)",approved
584ddd19-98b7-4ce4-8fa7-5ec62c3c29cc,Hard,"A patient (weight 70 kg, height 162 cm) with a GFR of 45 mL/min is prescribed carboplatin using the Calvert formula: Dose (mg) = target AUC × (GFR + 25). The target AUC is 5 mg/mL·min and the maximum dose is 800 mg per BNF. The dose is diluted in 500 mL glucose 5% and infused over 1 hour(s). Calculate the correct carboplatin dose in mg.",175 mg,350 mg,1400 mg,233.4 mg,525 mg,B,"Step 1: Apply the Calvert formula
• Dose (mg) = Target AUC × (GFR + 25)
• Dose = 5 mg/mL·min × (45 + 25)
• Dose = 5 × 70 = 350 mg

Step 2: Check against any maximum dose
• The question states a maximum dose applies — 350 mg should be checked against this
• 350 mg is within the stated limits

Answer: 350 mg

Why other answers are wrong:
• 175 mg — May have used AUC of 2.5 instead of 5
• 1400 mg — May have multiplied AUC by GFR × 4 (calculation error)
• 233.4 mg — May have used a different formula
• 525 mg — May have used AUC of 7.5

Key concept: The Calvert formula accounts for renal function (GFR) plus a constant of 25 representing non-renal clearance. It provides a personalised carboplatin dose based on renal function.",approved
eea52820-433d-488f-9476-dbc7b7e0fe12,Hard,A 67 kg patient with an eGFR of 12 mL/min/1.73m² is prescribed amikacin at 15 mg/kg once daily. The BNF recommends a maximum single dose of 1500 mg and the following renal dose adjustments: eGFR 0-14 mL/min/1.73m²: reduce to 25% of normal dose. Amikacin injection is available as 50 mg/mL in 2 mL vials. What volume of amikacin injection (50 mg/mL) should be drawn up?,5.52 mL,5.02 mL,15.06 mL,7.53 mL,4.52 mL,B,"Step 1: Calculate the normal dose
• Normal dose = Weight × Dose per kg
• 67 kg × 15 mg/kg = 1005 mg

Step 2: Check against the maximum single dose
• 1005 mg is below the maximum of 1500 mg, so no cap is needed

Step 3: Apply renal dose adjustment
• eGFR is 12 mL/min/1.73m², which falls in the 0–14 range
• Adjustment: reduce to 25% of normal dose
• Adjusted dose = 1005 mg × 0.25 = 251.25 mg

Step 4: Calculate the volume to draw up
• Stock concentration: 50 mg/mL
• Volume = Dose ÷ Concentration = 251.25 mg ÷ 50 mg/mL = 5.025 mL ≈ 5.02 mL

Answer: 5.02 mL

Why other answers are wrong:
• 5.52 mL — Calculation error
• 15.06 mL — May have applied 75% adjustment instead of 25%
• 7.53 mL — May have applied a different percentage
• 4.52 mL — Calculation error",approved
e6f9ddc6-d3bd-4e66-92c7-cad7acb135ef,Hard,A 110 kg patient with an eGFR of 15 mL/min/1.73m² is prescribed gentamicin at 5 mg/kg once daily. The BNF recommends a maximum single dose of 500 mg and the following renal dose adjustments: eGFR 15-29 mL/min/1.73m²: reduce to 40% of normal dose. Gentamicin injection is available as 40 mg/mL in 2 mL vials. What volume of gentamicin injection (40 mg/mL) should be drawn up?,20 mL,4.5 mL,5 mL,1.25 mL,2.5 mL,C,"Step 1: Calculate the normal dose
• Normal dose = Weight × Dose per kg
• 110 kg × 5 mg/kg = 550 mg

Step 2: Check against the maximum single dose
• 550 mg exceeds the maximum of 500 mg
• Capped dose = 500 mg

Step 3: Apply renal dose adjustment
• eGFR is 15 mL/min/1.73m², which falls in the 15–29 range
• Adjustment: reduce to 40% of normal dose
• Adjusted dose = 500 mg × 0.40 = 200 mg

Step 4: Calculate the volume to draw up
• Stock concentration: 40 mg/mL
• Volume = Dose ÷ Concentration = 200 mg ÷ 40 mg/mL = 5 mL

Answer: 5 mL

Why other answers are wrong:
• 20 mL — No renal adjustment applied (800 mg ÷ 40 is not right either)
• 4.5 mL — Calculation error
• 1.25 mL — Significant underdose
• 2.5 mL — Half the correct answer",approved
bd3d710f-acee-4d81-954e-44268aa35ae3,Medium,"A 50 kg patient is undergoing chemotherapy and is prescribed cisplatin, which has a dose of 75 mg/m2. Given that the Body Surface Area (BSA) is estimated using the Mosteller formula as BSA (m2) = sqrt[(height(cm) x weight(kg))/3600], and the patient's height is 160 cm, how many mg of cisplatin should be administered?",112.5 mg,150 mg,187.5 mg,225 mg,75 mg,A,"First calculate BSA using Mosteller formula: BSA = sqrt[(160 cm × 50 kg)/3600] ≈ 1.5 m2. Then, multiply by the dose per m2: 1.5 m2 × 75 mg/m2 = 112.5 mg.",approved
3bde240e-a90c-4963-9b9b-a8a6e652ac7f,Easy,A patient requires a dose adjustment for warfarin from 5 mg to 4 mg due to a slight increase in INR within the therapeutic range. By what percentage has the dose been reduced?,20%,25%,15%,10%,5%,A,"Original dose = 5 mg, new dose = 4 mg, reduction = 1 mg. Percentage reduction = (1 mg / 5 mg) × 100 = 20%.",approved
e82d6dac-4128-47ef-9ca4-4efb85cf83e4,Easy,A child weighing 25 kg is prescribed a medication with a dosage of 20 mg/kg/day divided into 3 equally divided doses. How many mg should each dose contain?,166.7 mg,83.3 mg,250 mg,500 mg,125 mg,A,"Total daily dose = Weight × Dose per kg = 25 kg × 20 mg = 500 mg. Since the total daily dose is divided into 3 equally divided doses, each dose = 500 mg / 3 ≈ 166.7 mg.",approved
2a366b3a-e74c-4499-897f-24bc2607f1d2,Hard,A 105 kg patient with an eGFR of 10 mL/min/1.73m² is prescribed gentamicin at 5 mg/kg once daily. The BNF recommends a maximum single dose of 500 mg and the following renal dose adjustments: eGFR 0-14 mL/min/1.73m²: reduce to 25% of normal dose. Gentamicin injection is available as 40 mg/mL in 2 mL vials. What is the correct gentamicin dose for this patient?,31.25 mg,1250 mg,137.5 mg,125 mg,375 mg,D,"Step 1: Calculate the normal dose
• Normal dose = Weight × Dose per kg
• 105 kg × 5 mg/kg = 525 mg

Step 2: Check against the maximum single dose
• 525 mg exceeds the maximum of 500 mg
• Capped dose = 500 mg

Step 3: Apply renal dose adjustment
• eGFR is 10 mL/min/1.73m², which falls in the 0–14 range
• Adjustment: reduce to 25% of normal dose
• Adjusted dose = 500 mg × 0.25 = 125 mg

Answer: 125 mg

Why other answers are wrong:
• 31.25 mg — May have applied 6.25% instead of 25%
• 1250 mg — Decimal error (× 10)
• 137.5 mg — May have applied 25% to uncapped dose (525 × 0.25 = 131.25, close but not this)
• 375 mg — This is 75% of the capped dose (wrong adjustment)",approved
